WORD,POS,LETTER_COUNT
It,Pronoun,2
was,Verb,3
Monday,Noun,6
morning.,Noun,7
Swaminathan,Noun,11
was,Verb,3
reluctant,Adjective,9
to,Preposition,2
open,Verb,4
his,Pronoun,3
eyes.,Noun,4
He,Pronoun,2
considered,Verb,10
Monday,Noun,6
specially,Adverb,9
unpleasant,Adjective,10
in,Preposition,2
the,Article,3
calendar.,Noun,8
After,Preposition,5
the,Article,3
delicious,Adjective,9
freedom,Noun,7
of,Preposition,2
Saturday,Noun,8
And,Conjunction,3
Sunday,Noun,6
it,Pronoun,2
was,Verb,3
difficult,Adjective,9
to,Preposition,2
get,Verb,3
into,Preposition,4
the,Article,3
Monday,Noun,6
mood,Noun,4
of,Preposition,2
work,Noun,4
and,Conjunction,3
discipline.,Noun,10
He,Pronoun,2
shuddered,Verb,9
at,Preposition,2
the,Article,3
very,Adverb,4
