intensities	labels
2.243889547	A
-0.026588607	A
1.069300654	A
2.290959751	A
1.732176564	A
3.792092169	A
4.435009325	A
1.334558147	A
0.366626304	A
3.09117433	A
1.850110191	A
1.465203466	A
2.856259258	A
1.368322822	A
2.003703135	A
3.042560693	A
1.531997893	A
1.904089524	A
1.857545341	A
1.410201273	A
2.265719444	A
2.984472815	A
1.433564242	A
3.294567125	A
1.544314132	A
2.0725012	A
2.479741976	A
0.874240464	A
0.639650072	A
0.988814662	A
2.533333515	A
1.010984029	A
2.781582124	A
0.109881012	A
2.575114415	A
2.647439309	A
1.216603401	A
0.294293245	A
0.61847374	A
3.142227203	A
3.820252644	B
3.887507113	B
3.074764448	B
3.738794784	B
4.033859599	B
4.221966016	B
7.134385456	B
4.16762676	B
3.00614828	B
4.084348622	B
3.639039253	B
2.166002061	B
4.799805017	B
3.261854318	B
2.803173221	B
2.407524137	B
3.13834188	B
4.522208123	B
1.955155739	B
5.180433149	B
2.869976306	B
4.351950323	B
3.524809333	B
4.27780079	B
4.412812504	B
3.208439414	B
4.018926372	B
6.014799977	B
1.090419076	B
3.700288593	B
2.740040162	B
5.632624436	B
3.300007523	B
4.370398531	B
4.546599751	B
6.231660538	B
4.818064226	B
4.413471842	B
3.700004066	B
4.910522419	B
